;time_plan;line;dest;delay;request;rideID
157;2022-10-31T22:57:00+01:00;120;S+U Wittenau -> Bus 220;0.0;2022-10-31 22:55:09;3133
159;2022-10-31T22:57:00+01:00;FEX;Flughafen BER - Terminal 1-2;0.0;2022-10-31 22:55:09;323
163;2022-10-31T22:58:00+01:00;U5;Hönow;0.0;2022-10-31 22:55:09;12931
164;2022-10-31T22:58:00+01:00;S7;S Ahrensfelde;0.0;2022-10-31 22:55:09;20481
165;2022-10-31T22:59:00+01:00;M5;Moabit, Lüneburger Str.;-2.0;2022-10-31 22:55:09;3210
166;2022-10-31T22:59:00+01:00;ICE 948;Köln, Hbf;3.0;2022-10-31 22:55:09;948
168;2022-10-31T23:00:00+01:00;M10;Moabit, Lüneburger Str.;4.0;2022-10-31 23:04:11;1920
169;2022-10-31T23:00:00+01:00;M41;Sonnenallee/Baumschulenstr.;0.0;2022-10-31 22:55:09;27178
167;2022-10-31T23:00:00+01:00;245;Mitte, Invalidenpark;0.0;2022-10-31 22:55:09;10413
170;2022-10-31T23:01:00+01:00;S5;S Strausberg Nord, in Mahlsdorf bitte umsteigen;0.0;2022-10-31 23:01:10;19042
171;2022-10-31T23:02:00+01:00;S9;S Spandau;0.0;2022-10-31 23:01:10;24385
172;2022-10-31T23:02:00+01:00;M85;S Lichterfelde Süd via Hindenburgdamm;0.0;2022-10-31 23:01:10;29372
173;2022-10-31T23:02:00+01:00;142;S Ostbahnhof via U Rosenthaler Platz;0.0;2022-10-31 23:01:10;15545
174;2022-10-31T23:03:00+01:00;147;U Märkisches Museum via S+U Friedrichstr.;2.0;2022-10-31 23:04:11;15754
175;2022-10-31T23:03:00+01:00;S9;Flughafen BER - Terminal 1-2;0.0;2022-10-31 23:01:10;23882
177;2022-10-31T23:07:00+01:00;M10;S+U Warschauer Str.;0.0;2022-10-31 23:07:12;1775
176;2022-10-31T23:07:00+01:00;S7;S Potsdam Hauptbahnhof;1.0;2022-10-31 23:07:12;20704
181;2022-10-31T23:08:00+01:00;RE4;Stendal, Hbf;0.0;2022-10-31 23:07:12;62187
180;2022-10-31T23:08:00+01:00;S7;S Ahrensfelde;0.0;2022-10-31 23:07:12;20982
178;2022-10-31T23:08:00+01:00;U5;Hönow;0.0;2022-10-31 23:07:12;12932
179;2022-10-31T23:08:00+01:00;M5;Hohenschönhausen, Zingster Str.;0.0;2022-10-31 23:07:12;3267
182;2022-10-31T23:09:00+01:00;120;Moabit, Seydlitzstr.;0.0;2022-10-31 23:07:12;1259
183;2022-10-31T23:10:00+01:00;245;Mitte, Robert-Koch-Platz;2.0;2022-10-31 23:10:13;10649
